id,altitude,heading
32659c15,33000,92
3265eccd,37000,69
3265c890,35000,91
326601a7,36975,91
32659c15,33000,92
3265eccd,37000,69
3265ade8,35000,86
3265c890,35025,91
326601a7,37000,91
32659c15,33000,92
3265eccd,37000,69
3265ade8,34975,91
3265c890,35025,91
326601a7,37000,91
32659c15,33000,92
3265eccd,37000,69
3265ade8,34975,91
3265c890,35025,92
326601a7,36975,91
32659c15,33000,93
3265eccd,37000,69
32660fed,33025,73
3265ade8,35000,91
3265c890,35025,92
326601a7,37000,92
32659c15,33000,93
3265eccd,37000,72
32660fed,33025,73
3265ade8,35000,91
3265c890,34975,92
326601a7,37000,92
32659c15,33000,93
32660fed,33025,73
3265ade8,35000,91
3265c890,34975,92
326601a7,37000,92
32659c15,33000,93
32655611,38000,251
32660fed,33000,73
3265ade8,34975,91
3265c890,34850,92
326601a7,36975,92
32659c15,33000,93
32655611,38000,251
32660fed,33000,94
3265ade8,34975,91
3265c890,34500,92
326601a7,36975,92
32659c15,33000,93
32655611,38000,251
32660fed,33000,94
3265ade8,35000,91
3265c890,33275,92
326601a7,36975,92
32659c15,33000,93
32655611,38000,251
32660fed,33000,94
3265ade8,35000,91
3265c890,31850,92
326601a7,36975,92
32659c15,33000,93
326642f7,33525,78
32655611,38000,251
32660fed,32975,94
3265ade8,34975,91
3265c890,31500,92
326601a7,37000,92
32659c15,33000,93
326642f7,34000,78
32655611,38000,251
32660fed,32975,94
3265ade8,34975,91
3265c890,29875,92
326601a7,37000,92
32659c15,33000,93
32655611,38000,251
326642f7,34525,78
326605dd,26200,38
32660fed,33000,94
3265ade8,35000,91
3265c890,28575,92
326601a7,36975,92
32659c15,33000,94
32655611,38000,251
326642f7,34825,78
326605dd,26200,38
32660fed,32975,94
3265ade8,35000,91
3265c890,28050,92
326601a7,37000,92
32659c15,33000,94
326642f7,34950,78
326605dd,26200,38
32660fed,33000,94
3265ade8,34975,91
3265c890,26850,92
326601a7,37000,92
32659c15,33000,94
326642f7,35000,90
326605dd,26200,38
32660fed,33000,94
3265ade8,34975,91
3265c890,26275,92
326601a7,37025,93
32659c15,33000,94
326642f7,35000,92
326605dd,26200,44
32660fed,33025,94
3265ade8,35000,91
3265c890,24400,92
326601a7,37000,94
32659c15,33000,94
326605dd,26200,44
32660fed,33025,94
3265ade8,35000,91
3265c890,23725,92
326601a7,37000,94
32659c15,33000,95
326605dd,26200,44
32660fed,33025,94
3265ade8,34975,91
3265c890,22600,92
326601a7,36975,94
32659c15,33000,95
326605dd,26200,44
32660fed,33025,94
3265ade8,35000,91
3265c890,22600,92
326601a7,36975,94
32659c15,33000,93
32658e73,37000,94
326605dd,26200,44
32660fed,33000,94
3265ade8,35000,91
3265c890,22600,92
326601a7,37000,94
32659c15,33000,93
32658e73,37000,91
326605dd,26200,44
32660fed,33000,94
3265ade8,35000,91
3265c890,22600,92
326601a7,37000,94
32658e73,37000,91
32660fed,33000,94
3265ade8,35250,91
3265c890,22600,84
326601a7,36975,94
3265c679,36000,254
32658e73,37000,91
32660fed,33000,94
3265ade8,35900,92
3265c890,22600,77
326601a7,36975,94
3265c679,36000,254
32658e73,37000,91
32660fed,33000,94
3265ade8,35900,92
3265c890,22600,74
326601a7,36975,94
3265c679,36000,254
32658e73,37000,91
32660fed,33000,94
3265ade8,37000,92
3265c890,22600,71
326601a7,37000,94
3265c679,36000,254
3265d798,36000,271
32658e73,37000,91
32660fed,33025,94
3265ade8,36975,92
3265c890,22600,71
3265c679,36000,254
326601a7,37000,94
3265d798,36000,271
32658e73,37000,91
32660fed,33025,94
3265ade8,36975,92
3265c890,22600,71
3265c679,36000,252
3265d798,36000,271
326601a7,37000,94
32658e73,37000,91
32660fed,33000,94
3265ade8,36975,92
3265c890,22600,71
3265d798,36000,271
3265c679,36000,254
32658e73,37000,91
32660fed,33000,94
3265ade8,36975,92
3265c890,22600,71
3265d798,36000,270
3265c679,36000,254
32658e73,37000,91
32660fed,33000,94
3265ade8,36975,92
3265c890,22600,71
3265d798,36000,270
3265c679,36000,254
3265be08,35000,88
32658e73,37000,91
32660fed,33000,94
3265ade8,36975,92
3265c890,22600,71
3265d798,36000,270
3265c679,36000,254
3265be08,35000,88
32658e73,37000,91
32660fed,33000,94
3265ade8,36975,92
3265c890,22600,71
3265d798,36000,268
3265be08,35000,91
32658e73,37000,91
32660fed,32975,94
3265ade8,36975,92
3265d798,36000,264
3265c890,8000,74
3265be08,35025,90
32658e73,37000,91
32660fed,32975,95
3265ade8,36975,92
3265d798,36000,261
3265c890,7125,74
3265be08,35025,90
32658e73,37000,91
32660fed,33000,95
3265ade8,36975,92
3265d798,31600,270
3265c890,6350,74
3265be08,35025,90
32658e73,37000,91
32660fed,33000,95
3265ade8,36975,93
3265d798,31600,270
3265c890,5500,74
3265be08,35025,90
32658e73,37000,91
32660fed,33000,95
3265ade8,36975,93
3265d798,31600,270
3265c890,4775,74
3265be08,35000,90
32658e73,37000,91
32660fed,33000,95
3265ade8,36975,93
3265d798,31600,270
3265c890,4075,75
3265be08,34975,90
32658e73,37000,91
32660fed,33000,95
3265ade8,36975,93
3265d798,31600,264
3265c890,3675,74
3265be08,34975,90
32658e73,37000,91
32660fed,33000,92
3265ade8,37000,93
3265d798,31600,262
3265c890,3275,77
3265be08,35000,90
32658e73,37000,91
32660fed,33025,95
3265d798,31600,260
3265ade8,37000,93
3265c890,2825,80
3265be08,35000,90
32658e73,37000,91
32660fed,33025,95
3265d798,31600,259
3265ade8,37000,93
3265c890,2475,81
3265be08,35000,90
32658e73,37000,91
32660fed,33025,95
3265d798,31600,259
3265ade8,37000,93
3265c890,2200,80
3265be08,35025,90
32658e73,37000,91
32660fed,33025,95
3265d798,31600,259
3265ade8,37000,93
3265c890,2075,80
3265be08,35000,90
32658e73,37000,91
32660fed,33025,95
3265d798,31600,259
3265ade8,37000,94
3265c890,1675,80
3265be08,35000,91
32658e73,37000,93
3265d798,31600,259
32660fed,32975,92
32664fc4,29925,0
3265ade8,37000,94
3265b359,35000,89
3265be08,35025,91
32658e73,37000,93
3265d798,31600,259
32660fed,32975,92
32664fc4,30150,92
3265b359,35000,89
3265be08,35000,91
32658e73,37000,93
3265d798,31600,259
32660fed,32950,92
32664fc4,30650,92
3265b359,35000,89
3265be08,35025,91
32658e73,37000,93
3265d798,31600,259
32660fed,32950,92
32664fc4,31375,92
3265b359,35000,89
3265be08,35000,91
32658e73,37000,93
3265d798,31600,259
32660fed,32950,92
32664fc4,31950,92
3265b359,35000,89
3265be08,35000,91
3265d798,31600,259
32658e73,37000,93
32660fed,33025,92
32664fc4,31950,92
3265b359,35000,89
3265be08,35000,91
3265d798,31600,259
32658e73,37000,93
32660fed,33000,93
32664fc4,32550,92
3265b359,35000,89
3265be08,35000,91
3265d798,31600,259
32658e73,37000,93
32660fed,33000,93
3265e009,38000,271
3265e310,35000,91
3265cbd4,33000,126
3265b359,35000,89
3265be08,35025,91
3265d798,31600,259
32658e73,37000,93
3265e009,38000,271
32660fed,33000,93
32664fc4,33475,92
3265e310,35000,91
3265cbd4,33000,126
3265b359,35000,89
3265be08,35000,91
3265d798,31600,259
32658e73,37000,93
3265e009,38000,272
32660fed,33000,93
3265e310,35000,90
3265cbd4,33000,91
3265b359,35000,89
3265be08,35000,91
3265d798,31600,259
32658e73,37000,93
3265e009,38025,270
32660fed,33000,93
3265315d,31000,79
3265e310,35000,91
3265cbd4,33000,91
3265b359,35000,89
3265be08,34975,91
3265d798,31600,259
32658e73,37000,93
3265e009,38000,270
3265315d,31000,79
3265e310,35000,90
3265cbd4,33000,91
3265b359,35000,89
3265be08,34975,91
3265d798,31600,259
32658e73,37000,93
3265e009,38000,270
3265315d,31000,79
3265e310,35000,90
3265cbd4,33000,91
3265b359,34975,89
3265be08,34975,91
3265d798,31600,259
32658e73,37000,93
3265e009,38000,270
3265315d,31000,91
3265e310,35000,90
3265cbd4,33000,91
3265b359,35000,92
3265be08,34950,92
3265d798,31600,259
32658e73,37000,93
3265e009,33825,270
3265315d,31000,88
3265e310,35000,90
3265cbd4,33000,91
3265b359,35025,92
3265be08,33625,92
3265d798,31600,259
32658e73,37000,93
3265e009,32775,271
3265315d,31000,91
3265e310,35000,90
3265cbd4,33000,91
3265b359,35000,91
3265be08,32100,93
3265d798,31600,259
32658e73,37000,93
3265e009,31350,216
3265315d,31000,91
3265e310,35000,90
3265cbd4,33000,91
3265b359,35000,91
3265be08,30950,93
3265d798,31600,259
3265e009,30425,219
32658e73,37000,93
3265315d,31000,91
3265e310,35000,91
3265cbd4,33000,91
3265b359,35000,91
3265be08,30950,93
3265d798,31600,259
3265e009,30425,219
32658e73,37000,93
3265315d,31000,91
3265e310,35000,91
3265cbd4,33000,91
3265b359,35000,91
3265be08,28375,87
3265e009,30425,219
32658e73,37000,93
3265315d,31000,91
3265e310,35000,91
3265cbd4,33000,91
3265b359,35000,91
3265be08,27450,65
3265e009,30425,219
32658e73,37000,94
3265315d,31000,91
3265e310,35000,92
3265cbd4,33000,91
3265b359,35000,91
3265be08,26275,65
3265e009,30425,219
32658e73,37000,94
3265315d,31000,91
3265e310,35000,92
3265cbd4,33000,91
3265b359,35000,92
3265be08,25225,65
3265e009,24350,267
32658e73,37000,94
3265315d,31000,91
3265e310,35000,92
3265cbd4,33000,91
3265b359,35000,92
3265be08,25225,65
3265e009,23700,267
3265315d,31000,91
3265e310,35000,92
3265cbd4,33000,91
3265b359,35000,92
3265be08,25225,65
3265e009,23700,267
3265315d,31000,91
3265e310,35000,92
3265cbd4,33000,91
3265b359,35000,92
3265be08,25225,67
3265e009,23700,267
3265315d,31000,91
3265e310,35000,92
3265cbd4,33000,91
3265b359,35000,92
3265be08,25225,70
3265e009,23700,267
3265315d,31000,91
3265e310,35000,92
32661ac6,38000,273
3265cbd4,33000,91
3265b359,35000,92
3265be08,19100,65
3265e009,23700,267
3265d1a1,37000,59
32661ac6,38000,273
3265315d,31000,91
3265e310,35000,92
3265cbd4,33000,91
3265b359,35000,92
3265be08,19100,65
3265e009,23700,267
3265d1a1,37000,59
32661ac6,38000,273
3265315d,31000,91
3265e310,35000,92
3265cbd4,33000,91
3265b359,35000,92
3265be08,19100,65
3265e009,23700,267
3265d1a1,37000,59
32661ac6,38000,273
3265315d,31000,91
3265e310,35000,92
3265cbd4,33000,93
3265b359,35000,92
3265be08,19100,65
3265e009,23700,267
3265d1a1,37000,59
32661ac6,38000,273
3265315d,31000,91
3265e310,35000,92
3265cbd4,33000,93
3265b359,35000,92
3265be08,19100,67
3265e009,23700,267
3265d933,34000,271
3265d1a1,37000,59
32661ac6,38000,273
3265315d,31000,91
3265e310,35000,92
3265cbd4,33000,93
3265b359,35000,92
3265be08,19100,71
3265e009,23700,267
3265d933,34000,270
3265d1a1,37000,59
32661ac6,38000,273
3265315d,31000,92
3265e310,35000,92
3265cbd4,33000,93
3265b359,35000,92
3265be08,19100,74
3265d933,34000,271
3265d1a1,37000,59
32661ac6,38000,273
3265315d,31000,92
3265e310,35000,92
3265b359,35000,91
3265cbd4,33000,93
3265be08,19100,76
3265d933,34000,270
3265d1a1,37000,59
32661ac6,38000,273
3265315d,31000,92
3265e310,35000,92
3265cbd4,33000,93
3265b359,35000,92
3265be08,9625,78
3265d933,34000,270
32661ac6,38000,273
3265315d,31000,92
3265e310,35000,92
3265cbd4,33000,93
3265b359,34975,92
3265be08,8625,78
3265d933,34000,270
32661ac6,38000,273
3265315d,31000,92
3265e310,35000,92
3265cbd4,33000,93
3265b359,34975,92
3265be08,7400,78
3265d933,34000,270
32661ac6,38000,273
3265315d,31000,92
3265e310,35000,92
3265b359,34975,92
3265cbd4,33000,93
3265d933,34000,270
3265be08,6825,78
32661ac6,38000,273
3265315d,31000,92
3265e310,35000,92
3265b359,34975,92
3265cbd4,33000,93
3265d933,34000,270
3265be08,6675,78
32661ac6,38000,273
3265315d,31000,93
3265e310,35000,92
3265b359,34975,92
3265cbd4,33000,93
3265d933,34000,270
3265be08,5975,78
32661ac6,38000,273
3265e310,35000,92
3265315d,31000,93
3265b359,34975,92
3265cbd4,33000,93
3265d933,34000,270
3265be08,5125,78
32661ac6,38000,273
3265315d,31000,93
3265e310,34975,92
3265b359,35000,92
3265cbd4,33000,93
3265d933,34000,270
3265be08,4175,78
32661ac6,38000,273
3265315d,31000,93
3265e310,34975,92
3265cbd4,33000,93
3265b359,35000,93
3265d933,34000,270
3265be08,3550,78
32661ac6,38000,273
3265315d,31000,93
3265e310,35000,92
3265cbd4,33000,93
3265d933,34000,270
3265b359,35000,93
3265be08,3200,81
32661ac6,38000,273
3265e310,35000,93
3265315d,31000,93
3265d933,34000,270
3265cbd4,33000,94
3265b359,35000,93
32659b28,41000,71
3265be08,2825,80
32661ac6,38000,273
3265e310,35000,93
3265315d,31000,93
3265d933,34000,270
3265cbd4,33000,94
3265b359,35000,93
32659b28,41000,71
3265be08,2575,80
32661ac6,38000,273
3265315d,31000,93
3265e310,35000,93
3265cbd4,33000,94
3265b359,35000,93
3265d933,34000,270
32659b28,41000,71
3265be08,2050,80
32661ac6,38000,273
3265d933,34000,270
3265e310,35000,93
3265315d,31000,90
3265cbd4,33000,94
3265b359,35025,93
32659b28,41000,71
3265be08,1625,80
3265d933,34000,270
3265315d,31000,87
3265e310,35000,94
3265cbd4,33000,94
3265b359,35000,94
32659b28,41000,71
3265315d,31000,93
3265d933,34000,270
3265e310,35000,94
3265cbd4,33000,94
3265b359,35000,94
32659b28,41000,71
3265d933,34000,270
3265e310,35000,94
3265315d,31000,93
3265cbd4,33000,94
3265b359,34975,94
3265d933,34000,270
3265e310,35000,94
3265315d,31000,93
3265cbd4,33000,94
3265b359,35000,94
3265d933,34000,270
3265e310,35000,94
3265315d,31000,93
3265cbd4,33000,94
3265b359,35000,94
3265d933,34000,270
3265e310,35000,94
3265315d,31000,93
3265b359,34975,94
3265f42e,37000,79
3265d933,34000,270
3265315d,31000,93
3265e310,35000,94
3265f42e,37000,79
3265d933,34000,270
3265315d,31000,93
3265e310,35000,94
3265f42e,37000,79
3265d933,34000,270
3265e310,35000,94
3265315d,31000,94
3265f42e,37000,79
3265d933,34000,270
3265e310,35000,94
3265315d,31000,94
3265f42e,37000,79
3265d933,34000,270
3265e310,35000,94
3265f42e,37000,79
3265d933,34000,270
3265e310,35000,94
3265f42e,39000,79
3265d933,34000,270
3265f42e,39000,91
3265d933,34000,270
3265f42e,39000,91
3265d933,34000,270
3265f42e,39000,91
3265d933,34000,270
3265f42e,39000,91
3265d933,34000,225
3265f42e,39000,91
3265d933,34000,225
3265f42e,39000,91
3265d933,34000,225
3265f42e,39000,92
3265d933,34000,225
3265f42e,39000,92
3265d933,34000,225
3265f42e,39000,92
3265d933,34000,225
3265f42e,39000,92
3265d933,34000,225
3265f42e,39000,94
3265d933,34000,225
3265f42e,39000,93
3265d933,34000,225
3265f42e,39000,93
3265d933,34000,225
326668a2,22250,0
3265d933,34000,225
3265f42e,39000,93
326668a2,22250,0
3265d933,34000,225
3265f42e,39000,93
326668a2,22250,0
3265d933,34000,228
3265f42e,39000,93
3265d933,34000,228
3265f42e,39000,93
326668a2,25775,0
3265d933,34000,228
3265f42e,39000,93
326668a2,25775,0
3265d933,34000,228
3265f42e,39000,93
326668a2,27500,0
3265d933,34000,228
3265f42e,39000,92
326668a2,28075,72
3265d933,34000,250
3265f42e,39000,92
326668a2,28500,72
326602f2,37000,66
3265d933,34000,250
3265f42e,39000,92
326668a2,28500,72
326602f2,37000,66
3265d933,34000,250
3265f42e,39000,92
326668a2,28500,72
326602f2,37000,66
3265d933,34000,250
3265f42e,39000,92
326668a2,28500,72
326602f2,37000,66
3265d933,34000,250
3265f42e,39000,92
326668a2,28500,72
