id,altitude,heading,latitude,longitude
327bf25b,37600,270,43.685,41.366
327bd4aa,34975,94,41.757,41.47
327bbe0e,39025,94,41.708,42.036
327b1959,40000,272,41.698,38.005
327b0897,36000,273,41.679,38.685
327c6d09,350,244,43.439,39.925
327bfbc0,0,230,43.441,39.927
327c764b,0,180,43.442,39.928
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,272,43.442,39.928
327c3557,0,61,43.444,39.933
327c032c,0,61,43.445,39.936
327c7120,0,248,43.445,39.938
327c70a6,0,321,43.446,39.938
327c74f8,0,244,43.448,39.946
327c1777,0,338,43.45,39.948
327c6f96,0,89,43.45,39.953
327c6e52,0,271,43.444,39.953
327bd39d,35000,66,41.921,41.19
327bf25b,37600,270,43.685,41.317
327bd4aa,34975,94,41.752,41.571
327bbe0e,39025,97,41.691,42.242
327c2fe5,35000,30,42.36,37.407
327b1959,40000,272,41.695,38.154
327b0897,36000,273,41.682,38.604
327c6d09,500,243,43.431,39.902
327bfbc0,0,149,43.44,39.925
327c764b,0,244,43.441,39.927
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c7120,0,244,43.444,39.935
327c032c,0,61,43.445,39.936
327c70a6,0,321,43.446,39.938
327c74f8,0,303,43.448,39.945
327c1777,0,338,43.45,39.948
327c6e52,0,271,43.444,39.953
327c6f96,0,160,43.45,39.954
327c788f,0,28,43.447,39.954
327bf25b,37600,270,43.685,41.244
327bd39d,35000,63,41.958,41.296
327bd4aa,35000,94,41.746,41.68
327c2fe5,35050,30,42.448,37.479
327b1959,40000,272,41.698,38.04
327b0897,36000,273,41.686,38.513
327c6d09,500,243,43.427,39.892
327c764b,0,255,43.441,39.923
327bfbc0,0,239,43.44,39.925
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c7120,0,318,43.443,39.933
327c032c,0,45,43.445,39.937
327c70a6,0,321,43.446,39.938
327c74f8,0,334,43.448,39.944
327c1777,0,338,43.45,39.948
327c6e52,0,271,43.444,39.953
327c6f96,0,248,43.449,39.954
327c788f,0,340,43.45,39.956
327bf25b,37600,266,43.684,41.167
327bd39d,35000,62,41.998,41.399
327bd4aa,35000,94,41.739,41.8
327c24d9,37000,71,41.658,41.84
327c2fe5,35050,30,42.53,37.543
327b1959,40000,271,41.702,37.919
327b0897,36000,273,41.688,38.449
327c6d09,500,243,43.427,39.892
327c764b,0,180,43.44,39.921
327bfbc0,0,239,43.44,39.925
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c7120,0,22,43.444,39.933
327c032c,0,45,43.445,39.937
327c70a6,0,321,43.446,39.938
327c74f8,0,334,43.449,39.944
327c1777,0,338,43.45,39.948
327c6f96,0,244,43.448,39.952
327c6e52,0,271,43.444,39.953
327c788f,0,292,43.451,39.954
327bf25b,37600,259,43.675,41.082
327bd39d,35000,80,41.767,41.695
327bd4aa,35000,94,41.733,41.901
327c24d9,37000,71,41.68,41.928
327c2fe5,35050,30,42.59,37.59
327b1959,40000,271,41.703,37.832
327b0897,36000,273,41.693,38.353
327c764b,0,123,43.438,39.924
327bfbc0,0,239,43.44,39.925
327c6f96,275,244,43.44,39.927
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c7120,0,22,43.444,39.933
327c70a6,0,140,43.446,39.938
327c74f8,0,334,43.449,39.944
327c1777,0,338,43.45,39.948
327c788f,0,244,43.45,39.951
327c6e52,0,271,43.444,39.953
327bf25b,37600,256,43.661,40.999
327bd39d,35000,80,41.78,41.792
327bd4aa,35000,94,41.726,42.022
327c24d9,37000,71,41.707,42.038
327c2fe5,34275,30,42.504,37.523
327b1959,40000,271,41.704,37.75
327b0897,36000,273,41.697,38.257
327c6f96,600,244,43.431,39.901
327bfbc0,0,73,43.44,39.926
327c764b,0,64,43.438,39.927
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c7120,0,22,43.444,39.933
327c70a6,0,140,43.446,39.938
327c788f,0,244,43.449,39.948
327c1777,0,338,43.45,39.948
327c6e52,0,271,43.444,39.953
327bf25b,26300,270,43.687,41.099
327bd39d,35000,80,41.792,41.889
327bd4aa,35000,94,41.72,42.121
327c24d9,37000,71,41.732,42.136
327c2fe5,34275,30,42.57,37.575
327b1959,40000,271,41.705,37.668
327b0897,36000,273,41.701,38.161
327c6f96,600,244,43.428,39.892
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327bfbc0,0,64,43.441,39.929
327c764b,0,61,43.439,39.93
327c3557,0,89,43.444,39.933
327c70a6,0,140,43.446,39.938
327c788f,0,255,43.448,39.944
327c1777,0,338,43.45,39.948
327bf25b,26300,270,43.687,41.023
327bd39d,35000,78,41.807,41.998
327c24d9,37000,71,41.756,42.236
327bd4aa,35000,94,41.713,42.238
327b1959,40000,271,41.706,37.585
327c2fe5,34275,30,42.61,37.607
327b0897,36000,273,41.705,38.065
327c6f96,600,244,43.428,39.892
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327bfbc0,0,64,43.441,39.93
327c3557,0,89,43.444,39.933
327c764b,0,61,43.44,39.933
327c70a6,0,140,43.446,39.938
327c788f,0,334,43.448,39.944
327c1777,0,338,43.45,39.948
327bf25b,26300,270,43.687,40.976
327c5e2b,31150,0,44.099,41.385
327bd39d,35000,75,41.827,42.11
327c24d9,37000,71,41.78,42.334
327bd4aa,34975,94,41.706,42.346
327b1959,40000,271,41.707,37.53
327c2fe5,34275,30,42.67,37.654
327b0897,36000,273,41.708,38.001
327c6f96,600,244,43.428,39.892
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327bfbc0,0,64,43.441,39.931
327c3557,0,89,43.444,39.933
327c764b,0,61,43.441,39.936
327c70a6,0,140,43.446,39.938
327c788f,0,334,43.448,39.944
327c1777,0,338,43.45,39.948
327bf25b,26300,270,43.687,40.904
327c5e2b,31525,82,44.117,41.579
327bd39d,35000,73,41.842,42.185
327c737b,26150,261,43.937,42.343
327b1959,40000,271,41.708,37.448
327c2fe5,29125,31,42.887,37.846
327b0897,36000,273,41.712,37.906
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327bfbc0,0,345,43.441,39.931
327c3557,0,89,43.444,39.933
327c70a6,0,140,43.446,39.938
327c764b,0,64,43.442,39.938
327c788f,0,334,43.448,39.944
327c1777,0,338,43.45,39.948
327bf25b,26300,270,43.687,40.833
327c5e2b,31525,82,44.127,41.684
327c289e,35000,73,41.661,41.954
327c737b,27025,261,43.929,42.271
327bd39d,35000,70,41.869,42.295
327bff6d,34025,268,43.659,42.342
327b0897,36000,273,41.716,37.81
327c2fe5,29125,31,42.947,37.895
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327bfbc0,0,61,43.443,39.936
327c764b,0,61,43.444,39.942
327c788f,0,334,43.448,39.944
327c1777,0,338,43.45,39.948
327c6e52,0,271,43.444,39.953
327bf25b,26300,270,43.687,40.762
327c5e2b,32375,96,44.115,41.779
327c289e,35000,73,41.684,42.062
327c737b,27975,261,43.921,42.186
327bff6d,34000,268,43.657,42.253
327b0897,36000,273,41.72,37.714
327c2fe5,29125,31,43.004,37.942
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327bfbc0,0,64,43.444,39.94
327c764b,0,61,43.444,39.944
327c1777,0,338,43.45,39.948
327c6e52,0,271,43.444,39.953
327c68c5,19200,73,43.853,40.157
327bf25b,26300,270,43.687,40.714
327c5e2b,32375,96,44.107,41.886
327c737b,28725,261,43.913,42.114
327c289e,35000,73,41.704,42.154
327bff6d,34000,268,43.656,42.172
327b0897,36000,273,41.722,37.65
327c2fe5,29125,31,43.061,37.989
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c70a6,0,140,43.446,39.938
327bfbc0,0,64,43.446,39.944
327c764b,0,61,43.444,39.944
327c1777,0,338,43.45,39.948
327c6e52,0,271,43.444,39.953
327c68c5,19200,73,43.872,40.243
327bf25b,17900,270,43.662,40.589
327c5e2b,32375,96,44.1,41.984
327c737b,29475,261,43.905,42.035
327bff6d,34000,268,43.654,42.098
327c289e,35000,73,41.726,42.253
327b0897,36000,273,41.726,37.554
327c2fe5,29125,31,43.099,38.02
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c70a6,0,140,43.446,39.938
327c7e2a,0,219,43.446,39.939
327c764b,0,61,43.444,39.944
327c1777,0,338,43.45,39.948
327bfbc0,0,64,43.447,39.948
327c68c5,20750,88,43.831,40.385
327bf25b,17900,270,43.662,40.542
327c737b,30100,261,43.897,41.958
327bff6d,34025,268,43.652,42.017
327c5e2b,32375,96,44.093,42.082
327c289e,35000,74,41.748,42.354
327b0897,36000,273,41.73,37.458
327c2fe5,29125,31,43.156,38.067
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c70a6,0,140,43.446,39.938
327c7e2a,0,73,43.446,39.939
327c1777,0,338,43.45,39.948
327bfbc0,0,64,43.447,39.948
327c68c5,21675,74,43.919,40.478
327bf25b,17900,270,43.662,40.48
327c737b,30775,261,43.888,41.871
327bff6d,34025,267,43.65,41.936
327c5e2b,34375,96,44.11,41.982
327c2fe5,29125,31,43.213,38.115
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c70a6,0,140,43.446,39.938
327c7e2a,0,67,43.447,39.941
327c1777,0,338,43.45,39.948
327bfbc0,0,64,43.447,39.948
327c764b,0,208,43.444,39.95
327bf25b,17900,270,43.662,40.418
327c68c5,22225,62,43.932,40.545
327c737b,31250,261,43.88,41.796
327bff6d,34000,267,43.648,41.858
327c5e2b,34375,96,44.102,42.08
327c2fe5,29125,31,43.251,38.146
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c70a6,0,140,43.446,39.938
327c7e2a,0,315,43.448,39.942
327c1777,0,338,43.45,39.948
327c764b,0,278,43.444,39.949
327bfbc0,0,208,43.446,39.953
327bf25b,13775,236,43.613,40.189
327c68c5,23000,74,43.952,40.644
327c737b,31800,261,43.871,41.713
327bff6d,34000,268,43.646,41.779
327c5e2b,34375,96,44.098,42.146
327c2fe5,20600,31,42.784,38.197
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c7e2a,0,315,43.448,39.942
327c764b,0,109,43.443,39.948
327c1777,0,338,43.45,39.948
327bfbc0,0,208,43.442,39.95
327c6e52,0,89,43.444,39.953
327bf25b,13775,236,43.588,40.139
327c68c5,23000,74,43.971,40.733
327c737b,32225,261,43.863,41.639
327bff6d,33975,267,43.644,41.705
327c5e2b,34375,96,44.09,42.244
327c2fe5,20600,31,42.861,38.261
327bdf28,33550,97,41.837,38.778
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c764b,0,109,43.443,39.948
327c1777,0,338,43.45,39.948
327bfbc0,0,208,43.442,39.95
327c6e52,0,89,43.444,39.953
327bf25b,13775,236,43.564,40.089
327c68c5,23000,74,43.982,40.789
327c737b,32750,261,43.855,41.555
327bff6d,33975,267,43.642,41.647
327c5e2b,34375,96,44.083,42.343
327c2fe5,20600,31,42.918,38.308
327bdf28,32925,53,41.848,38.799
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c70a6,0,321,43.446,39.938
327c764b,0,109,43.443,39.948
327c1777,0,338,43.45,39.948
327bfbc0,0,208,43.442,39.95
327c6e52,0,89,43.444,39.953
327bf25b,13775,236,43.54,40.04
327c68c5,23000,74,44.0,40.874
327c737b,32975,261,43.852,41.528
327bff6d,33975,267,43.639,41.567
327c2fe5,20600,31,42.956,38.339
327bdf28,31900,53,41.897,38.885
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c70a6,0,321,43.446,39.938
327c1777,0,338,43.45,39.948
327bf25b,13775,236,43.54,40.04
327c68c5,23000,74,44.017,40.958
327c737b,34050,251,43.803,41.457
327bff6d,33975,267,43.636,41.494
327c2fe5,20600,31,43.013,38.386
327bdf28,31900,53,41.943,38.968
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c70a6,0,321,43.446,39.938
327c1777,0,338,43.45,39.948
327bf25b,13775,236,43.54,40.04
327c68c5,25775,83,44.028,41.079
327c737b,34050,251,43.791,41.409
327bff6d,33975,267,43.634,41.445
327bee74,34000,271,43.675,42.309
327c2fe5,20600,31,43.07,38.433
327bdf28,30600,53,41.955,38.988
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c70a6,0,321,43.446,39.938
327c1777,0,338,43.45,39.948
327c68c5,25775,83,44.033,41.131
327bff6d,34000,270,43.638,41.476
327c737b,34675,303,43.691,41.537
327bee74,34025,271,43.676,42.235
327c2fe5,15175,31,43.175,38.837
327bdf28,30600,53,42.015,39.095
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c70a6,0,321,43.446,39.938
327c1777,0,338,43.45,39.948
327bfbc0,0,28,43.452,39.958
327c68c5,27125,74,44.096,41.336
327bff6d,34000,270,43.638,41.395
327c737b,34675,303,43.73,41.455
327bee74,34025,271,43.677,42.146
327c2fe5,15175,31,43.217,38.873
327bdf28,29150,53,42.059,39.174
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c70a6,0,321,43.446,39.938
327c1777,0,338,43.45,39.948
327bfbc0,0,28,43.452,39.958
327bff6d,34000,270,43.638,41.321
327c737b,34675,303,43.768,41.373
327c68c5,27550,163,44.056,41.387
327bee74,34050,271,43.679,42.065
327c2fe5,15175,31,43.274,38.92
327bdf28,29150,53,42.086,39.223
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,89,43.444,39.933
327c70a6,0,321,43.446,39.938
327c1777,0,338,43.45,39.948
327c6e52,0,89,43.444,39.953
327bfbc0,0,236,43.451,39.954
327bff6d,34000,270,43.638,41.246
327c737b,34675,303,43.794,41.318
327c68c5,27875,161,43.949,41.421
327c10f7,41050,71,41.664,41.864
327bee74,34025,270,43.679,41.991
327c2fe5,13125,31,43.182,39.002
327bdf28,28025,53,42.226,39.441
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,271,43.444,39.933
327c70a6,0,321,43.446,39.938
327c1777,0,338,43.45,39.948
327bfbc0,0,253,43.45,39.95
327c6e52,0,89,43.444,39.953
327bff6d,34000,265,43.635,41.188
327c737b,34675,303,43.833,41.235
327c68c5,28450,90,43.981,41.563
327bee74,34025,270,43.68,41.917
327c10f7,41050,71,41.688,41.96
327c2fe5,13125,31,43.241,39.051
327bdf28,28025,53,42.253,39.489
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,271,43.444,39.933
327c70a6,0,321,43.446,39.938
327bfbc0,0,298,43.45,39.948
327c1777,0,338,43.45,39.948
327c737b,34675,303,43.871,41.152
327bff6d,33850,270,43.635,41.385
327c68c5,28450,90,43.981,41.675
327bee74,33975,270,43.681,41.836
327c10f7,41050,71,41.714,42.066
327c2fe5,13125,31,43.279,39.082
327bdf28,28025,53,42.288,39.552
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,271,43.444,39.933
327c70a6,0,321,43.446,39.938
327bfbc0,0,298,43.45,39.948
327c1777,0,338,43.45,39.948
327c737b,34675,303,43.897,41.097
327bff6d,33850,270,43.635,41.301
327c68c5,28450,90,43.981,41.742
327bee74,33975,270,43.682,41.763
327c10f7,41025,71,41.738,42.161
327c2fe5,13125,31,43.336,39.129
327bdf28,28000,38,42.239,39.452
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,271,43.444,39.933
327c5e39,0,244,43.445,39.935
327bfbc0,0,298,43.45,39.948
327c1777,0,338,43.45,39.948
327c737b,34675,303,43.935,41.015
327bff6d,33850,270,43.635,41.251
327bee74,33950,270,43.683,41.684
327c68c5,29800,92,43.972,41.905
327c10f7,41025,71,41.764,42.268
327c2fe5,13125,31,43.355,39.145
327bdf28,28000,38,42.301,39.518
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c5e39,0,247,43.444,39.932
327c3557,0,271,43.444,39.933
327c1777,0,338,43.45,39.948
327c737b,36000,303,43.81,41.148
327bff6d,33850,270,43.635,41.176
327bee74,33950,270,43.683,41.621
327bef04,31000,89,41.725,41.657
327c68c5,30275,92,43.969,41.992
327c2fe5,13125,31,43.355,39.145
327bdf28,28000,38,42.331,39.55
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c5e39,0,244,43.442,39.929
327c3557,0,271,43.444,39.933
327c1777,0,338,43.45,39.948
327c737b,36000,303,43.85,41.064
327bff6d,33850,267,43.633,41.096
327bee74,33975,270,43.684,41.546
327bef04,31000,89,41.727,41.766
327c68c5,30575,92,43.968,42.038
327bdf28,28000,38,42.376,39.597
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c5e39,0,241,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,271,43.444,39.933
327c1777,0,338,43.45,39.948
327c737b,36000,303,43.888,40.981
327bff6d,33850,267,43.631,41.046
327bee74,33975,270,43.684,41.469
327bef04,31000,89,41.728,41.867
327c68c5,31175,92,43.962,42.196
327bdf28,25625,38,42.411,39.595
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c5e39,0,241,43.442,39.928
327c0081,0,271,43.442,39.928
327c3557,0,61,43.444,39.934
327c1777,0,338,43.45,39.948
327bff6d,26000,267,43.605,40.512
327c737b,36000,303,43.927,40.898
327bee74,33975,270,43.684,41.395
327bef04,31000,93,41.706,42.125
327c68c5,31625,92,43.958,42.31
327bdf28,25625,38,42.44,39.625
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c5e39,0,241,43.442,39.928
327c0081,0,271,43.442,39.928
327c5a99,0,247,43.444,39.934
327c3557,0,61,43.445,39.936
327c764b,0,241,43.441,39.94
327c1777,0,338,43.45,39.948
327bff6d,24975,267,43.605,40.498
327c737b,36000,303,43.953,40.843
327bee74,33975,270,43.684,41.346
327bef04,31000,93,41.701,42.232
327bdf28,25625,38,42.484,39.672
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c5a99,0,244,43.443,39.931
327c764b,0,222,43.439,39.936
327c3557,0,53,43.445,39.937
327c1777,0,338,43.45,39.948
327bff6d,23375,267,43.601,40.387
327c737b,36000,303,43.991,40.76
327bee74,33975,264,43.681,41.263
327bef04,31000,93,41.697,42.332
327bdf28,19900,305,42.705,39.446
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c5a99,0,261,43.442,39.929
327c764b,0,241,43.438,39.933
327c3557,0,67,43.446,39.939
327c1777,0,338,43.45,39.948
327c737b,36000,253,43.665,40.245
327bff6d,20625,267,43.6,40.369
327bee74,34025,270,43.686,41.394
327bdf28,19900,305,42.739,39.381
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c5a99,0,331,43.442,39.929
327c764b,0,284,43.437,39.929
327c3557,0,67,43.446,39.939
327c1777,0,338,43.45,39.948
327c737b,36000,253,43.66,40.22
327bff6d,19825,267,43.595,40.231
327bee74,34025,270,43.686,41.315
327bdf28,19900,305,42.769,39.32
327c764b,0,298,43.437,39.926
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c5a99,0,331,43.442,39.929
327c3557,0,67,43.446,39.939
327c1777,0,338,43.45,39.948
327bff6d,19825,267,43.592,40.145
327c737b,36000,253,43.655,40.192
327bee74,34025,270,43.686,41.266
327bdf28,15750,305,42.858,39.362
327c764b,0,315,43.439,39.922
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c5a99,0,331,43.442,39.929
327c1777,0,338,43.45,39.948
327bf25b,0,244,43.45,39.952
327c737b,36000,253,43.636,40.101
327bff6d,18100,267,43.592,40.149
327bee74,34025,270,43.686,41.191
327bdf28,15750,305,42.887,39.304
327c764b,0,75,43.441,39.924
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c5a99,0,331,43.442,39.929
327c032c,0,250,43.445,39.935
327c1777,0,338,43.45,39.948
327bf25b,0,244,43.449,39.95
327c737b,36000,254,43.607,39.956
327bff6d,16700,209,43.526,39.969
327bee74,34025,263,43.682,41.108
327bdf28,15750,305,42.907,39.266
327c737b,36000,247,43.585,39.874
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c764b,0,61,43.442,39.928
327c032c,0,61,43.445,39.936
327bff6d,16100,198,43.479,39.939
327c1777,0,338,43.45,39.948
327bf25b,0,244,43.449,39.948
327bee74,34025,259,43.675,41.051
327c6d09,33250,0,44.102,41.403
327bdf28,15750,305,42.936,39.209
327c737b,36000,242,43.559,39.808
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327bff6d,16075,188,43.424,39.929
327c764b,0,61,43.443,39.93
327c032c,0,30,43.445,39.937
327bf25b,0,244,43.449,39.948
327c1777,0,338,43.45,39.948
327bee74,34025,255,43.661,40.965
327c6d09,33250,0,44.176,41.403
327bdf28,15750,305,42.965,39.151
327c737b,36000,240,43.537,39.753
327bff6d,16075,189,43.375,39.919
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c764b,0,61,43.444,39.933
327c032c,0,2,43.446,39.939
327bf25b,0,244,43.449,39.948
327c1777,0,338,43.45,39.948
327bee74,34025,255,43.644,40.881
327c6d09,33250,0,44.247,41.403
327bdf28,15750,305,42.985,39.113
327c737b,36000,240,43.505,39.679
327bff6d,15675,192,43.351,39.912
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c764b,0,56,43.445,39.935
327c032c,0,2,43.446,39.939
327bf25b,0,244,43.449,39.948
327c1777,0,338,43.45,39.948
327bee74,34025,255,43.633,40.824
327c6d09,33250,0,44.295,41.403
327bdf28,15750,305,43.014,39.056
327c737b,36025,240,43.483,39.623
327bff6d,15000,192,43.35,39.905
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c764b,0,19,43.445,39.936
327c032c,0,2,43.446,39.939
327c1777,0,338,43.45,39.948
327bee74,34025,255,43.62,40.753
327c6d09,33250,0,44.376,41.403
327bdf28,15750,305,43.024,39.036
327c737b,36000,240,43.472,39.596
327bff6d,14275,192,43.317,39.892
327c4690,0,239,43.442,39.928
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327c764b,0,19,43.445,39.936
327bfbc0,0,241,43.444,39.937
327c1777,0,338,43.45,39.948
327bee74,25250,270,43.687,41.121
327c6d09,33250,0,44.46,41.402
327c29b5,37000,73,41.67,41.998
327bdf28,15750,305,43.024,39.036
327c737b,36000,241,43.426,39.483
327bff6d,14275,192,43.273,39.879
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327bfbc0,0,244,43.443,39.931
327c8efc,0,337,43.448,39.946
327c1777,0,338,43.45,39.948
327bee74,25250,270,43.687,41.019
327c6d09,33250,0,44.516,41.402
327c29b5,36975,73,41.692,42.096
327bf70d,34025,271,43.675,42.315
327c737b,36025,241,43.42,39.466
327bff6d,14275,192,43.234,39.868
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
327bfbc0,0,64,43.443,39.929
327c7e2a,0,241,43.446,39.938
327c8efc,0,2,43.448,39.946
327c1777,0,338,43.45,39.948
327bee74,25250,270,43.687,40.971
327c6d09,33250,0,44.601,41.401
327c29b5,37000,73,41.711,42.185
327bf70d,34000,271,43.676,42.241
327c737b,36000,241,43.383,39.372
327bff6d,14275,192,43.195,39.856
327c67f0,0,271,43.442,39.928
327c0081,0,271,43.442,39.928
